"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42037","0","10","70","0","2000","A","","Columbia County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1533,24993,667179034,0,0,513,26694,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",37,2.5,189,0.8,26643496,4.2,0,0.0,0,0.0,16,3.2,870,3.4
"42037","1","10","71","0","2000","A","","Columbia County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,175,6251254,0,0,689,35807,"",1.64,0.32,0.32,0.00,0.00,1.03,1.02,"",0,0.0,11,6.7,633359,11.3,0,0.0,0,0.0,29,4.4,1464,4.3
"42037","1","102","72","0","2000","A","","Columbia County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,175,6251254,0,0,689,35807,"",1.65,0.32,0.33,0.00,0.00,1.03,1.03,"",0,0.0,11,6.7,633359,11.3,0,0.0,0,0.0,29,4.4,1464,4.3
"42037","1","1021","73","0","2000","A","","Columbia County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,112,4570056,0,0,783,40713,"",2.15,0.60,0.77,0.00,0.00,1.29,1.29,"",0,0.0,-16,-12.5,472819,11.5,0,0.0,0,0.0,167,27.1,8682,27.1
"42037","1","1023","73","0","2000","A","","Columbia County, Pennsylvania","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",4.80,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-1362,-100.0,0,0.0,0,0.0,0,0.0,0,0.0
"42037","1","1028","73","0","2000","A","","Columbia County, Pennsylvania","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,62,1681198,0,0,519,26971,"",1.36,0.22,0.16,0.00,0.00,0.72,0.72,"",0,0.0,26,72.2,161902,10.7,0,0.0,0,0.0,-300,-36.6,-15626,-36.7
"42037","1","48-49","74","0","2000","A","","Columbia County, Pennsylvania","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,112,4570056,0,0,783,40713,"",2.22,0.64,0.80,0.00,0.00,1.25,1.25,"",0,0.0,-16,-12.5,472819,11.5,0,0.0,0,0.0,167,27.1,8682,27.1
"42037","1","491","75","0","2000","A","","Columbia County, Pennsylvania","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,112,4570056,0,0,783,40713,"",2.26,0.66,0.85,0.00,0.00,1.28,1.28,"",0,0.0,-16,-12.5,472819,11.5,0,0.0,0,0.0,167,27.1,8682,27.1
"42037","1","4911","76","0","2000","A","","Columbia County, Pennsylvania","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,112,4570056,0,0,783,40713,"",2.26,0.66,0.85,0.00,0.00,1.28,1.28,"",0,0.0,-16,-12.5,472819,11.5,0,0.0,0,0.0,167,27.1,8682,27.1
"42037","1","49111","77","0","2000","A","","Columbia County, Pennsylvania","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,112,4570056,0,0,783,40713,"",2.26,0.66,0.85,0.00,0.00,1.28,1.28,"",0,0.0,-16,-12.5,472819,11.5,0,0.0,0,0.0,167,27.1,8682,27.1
