CSA,CSA_name,TotalHousing16,Owners16,renters16
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",2475969,1396394,824382
148,"Boston-Worcester-Providence, MA-RI-NH-CT",3412143,1934972,1151423
176,"Chicago-Naperville, IL-IN-WI",3969378,2327231,1282068
206,"Dallas-Fort Worth, TX-OK",2832798,1566020,1034702
216,"Denver-Aurora, CO",1350238,814383,464369
220,"Detroit-Warren-Ann Arbor, MI",2340603,1420760,652609
288,"Houston-The Woodlands, TX",2534512,1383407,907205
348,"Los Angeles-Long Beach, CA",6375740,3072459,2820374
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",2809034,1419029,888587
378,"Minneapolis-St. Paul, MN-WI",1554227,1028692,444354
408,"New York-Newark, NY-NJ-CT-PA",8973910,4328256,3794128
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",2965130,1789788,851882
488,"San Jose-San Francisco-Oakland, CA",3202912,1671214,1347297
500,"Seattle-Tacoma, WA",1893806,1070569,680252
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3763493,2235443,1237556
