CSA,CSA_Name,2000,2010,2000-2010_NET,2000-2010_%
122,"Atlanta--Athens-Clarke County--Sandy Springs, GA",4778990,5910296,1131306,0.23672491467862455
148,"Boston-Worcester-Providence, MA-RI-NH-CT",7630016,7893376,263360,0.03451631031966381
176,"Chicago-Naperville, IL-IN-WI",9465353,9840929,375576,0.039679027290371524
206,"Dallas-Fort Worth, TX-OK",5565005,6817483,1252478,0.22506322995217434
216,"Denver-Aurora, CO",2629980,3034985,405005,0.1539954676461418
220,"Detroit-Warren-Ann Arbor, MI",5456428,5318744,-137684,-0.025233357793780106
288,"Houston-The Woodlands, TX",4878216,6114562,1236346,0.25344224199994425
348,"Los Angeles-Long Beach, CA",16373645,17877006,1503361,0.09181590293425806
370,"Miami-Fort Lauderdale-Port St. Lucie, FL",5475847,6166766,690919,0.12617573135261084
378,"Minneapolis-St. Paul, MN-WI",3335000,3684928,349928,0.10492593703148426
408,"New York-Newark, NY-NJ-CT-PA",21491898,22214519,722621,0.03362294944820602
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",6688798,7067807,379009,0.05666324502548888
488,"San Jose-San Francisco-Oakland, CA",7656194,8153696,497502,0.06498032834591182
500,"Seattle-Tacoma, WA",3775744,4274767,499023,0.1321654752017086
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",7981257,9051961,1070704,0.1341523020747233
