,STCO,NAMELSAD,CSA
0,51179,Stafford County,548
1,18073,Jasper County,176
2,13171,Lamar County,122
3,25025,Suffolk County,148
4,48147,Fannin County,206
5,13063,Clayton County,122
6,34037,Sussex County,408
7,27095,Mille Lacs County,378
8,55093,Pierce County,378
9,13233,Polk County,122
10,27085,McLeod County,378
11,53041,Lewis County,500
12,13089,DeKalb County,122
13,13227,Pickens County,122
14,24510,Baltimore city,548
15,18111,Newton County,176
16,36111,Ulster County,408
17,34007,Camden County,428
18,13045,Carroll County,122
19,48181,Grayson County,206
20,51510,Alexandria city,548
21,12011,Broward County,370
22,48397,Rockwall County,206
23,26163,Wayne County,220
24,17011,Bureau County,176
25,12099,Palm Beach County,370
26,24015,Cecil County,428
27,25001,Barnstable County,148
28,18089,Lake County,176
29,12086,Miami-Dade County,370
30,18091,LaPorte County,176
31,13297,Walton County,122
32,51157,Rappahannock County,548
33,06111,Ventura County,348
34,08093,Park County,216
35,06037,Los Angeles County,348
36,13129,Gordon County,122
37,48157,Fort Bend County,288
38,36103,Suffolk County,408
39,48367,Parker County,206
40,27143,Sibley County,378
41,13293,Upson County,122
42,06097,Sonoma County,488
43,13013,Barrow County,122
44,34039,Union County,408
45,08059,Jefferson County,216
46,13223,Paulding County,122
47,25027,Worcester County,148
48,36027,Dutchess County,408
49,48477,Washington County,288
50,12093,Okeechobee County,370
51,10003,New Castle County,428
52,42101,Philadelphia County,428
53,48223,Hopkins County,206
54,08013,Boulder County,216
55,08031,Denver County,216
56,17093,Kendall County,176
57,11001,District of Columbia,548
58,27171,Wright County,378
59,55059,Kenosha County,176
60,06075,San Francisco County,488
61,17031,Cook County,176
62,24005,Baltimore County,548
63,06041,Marin County,488
64,13199,Meriwether County,122
65,27139,Scott County,378
66,08014,Broomfield County,216
67,51610,Falls Church city,548
68,17037,DeKalb County,176
69,06055,Napa County,488
70,13113,Fayette County,122
71,48481,Wharton County,288
72,13143,Haralson County,122
73,24013,Carroll County,548
74,27025,Chisago County,378
75,34009,Cape May County,428
76,48257,Kaufman County,206
77,48251,Johnson County,206
78,13015,Bartow County,122
79,24009,Calvert County,548
80,48473,Waller County,288
81,13139,Hall County,122
82,24019,Dorchester County,548
83,34005,Burlington County,428
84,18127,Porter County,176
85,42011,Berks County,428
86,51061,Fauquier County,548
87,27049,Goodhue County,378
88,36059,Nassau County,408
89,24003,Anne Arundel County,548
90,34023,Middlesex County,408
91,17155,Putnam County,176
92,25005,Bristol County,148
93,24021,Frederick County,548
94,06095,Solano County,488
95,54027,Hampshire County,548
96,26087,Lapeer County,220
97,06071,San Bernardino County,348
98,51600,Fairfax city,548
99,13059,Clarke County,122
100,13077,Coweta County,122
101,06013,Contra Costa County,488
102,36119,Westchester County,408
103,09009,New Haven County,408
104,17091,Kankakee County,176
105,13159,Jasper County,122
106,26147,St. Clair County,220
107,13151,Henry County,122
108,26093,Livingston County,220
109,08001,Adams County,216
110,12085,Martin County,370
111,13085,Dawson County,122
